Brand,Model,Type,Cell tech,Pmax_STC_W,Voc_V,Vmp_V,Imp_A,Isc_A,TempCoeff_Pmax_%/C,TempCoeff_Voc_%/C,TempCoeff_Isc_%/C,Max_system_voltage_V,Max_series_fuse_A,Dimensions_mm,Weight_kg,Notes,Primary_source,Popularity_rank_ecoflow_community,Popularity_top10_ecoflow_community,Popularity_evidence,Voc_temp_coeff_missing,Voc_0C_V,Voc_-20C_V,Voc_-25C_V,EcoFlow_compatibility,Voc_safety_basis,Voc_safety_V,MaxSeries_60V,Headroom_60V_V,SinglePanelMargin_60V_V,MaxSeries_150V,Headroom_150V_V,SinglePanelMargin_150V_V,MaxSeries_450V,Headroom_450V_V,SinglePanelMargin_450V_V,MaxSeries_500V,Headroom_500V_V,SinglePanelMargin_500V_V,MinSeries_for_80Vmp,MinSeries_Vmp_total_V,MinSeries_Voc_total_V,SeriesRange_DPU_High_450V,SeriesRange_DPUX_High_500V,MinSeries_fits_450V,MinSeries_fits_500V
Aptos Solar,DNA-144-BF10-550W-DG,"Bifacial, dual-glass",Monocrystalline split-cell (PERC per datasheet),550,49.8,41.95,13.11,13.99,-0.39,-0.3,0.06,1500.0,30.0,2278×1134×35,32.29577674471452,"Popular US distributor brand; note higher (worse) Pmax temp coefficient vs TOPCon options.; EcoFlow match: Imp 13.11A vs 15A limit; STC series limit ~9S (DPU 450V), ~10S (DPU‑X 500V).",Signature Solar product page; Aptos DNA-144 BF10 datasheet,,0.0,,False,53.535,56.523,57.26999999999999,D3 Max 11–60V/13A: YES (current clip likely) | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: YES | DPU Low 30–150V/15A: YES | DPU High 80–450V/15A: needs ≥2S (max 7S) | DPU‑X High 80–500V/15A: needs ≥2S (max 8S),Voc@-25C,57.26999999999999,1,2.730000000000011,2.730000000000011,2,35.46000000000002,92.73000000000002,7,49.11000000000007,392.73,8,41.84000000000009,442.73,2,83.9,114.53999999999998,2S–7S,2S–8S,1.0,1.0
Axitec,AC-550MBT/144US (AXIworldbipremium XXL HC MT 550W bin),"Bifacial (bifaciality 70%±10%), glass/front + backsheet film","Monocrystalline, half-cut (144)",550,50.2,41.9,13.13,13.89,-0.35,-0.29,0.048,1500.0,,2278×1134×35,28.0,US page links to 530–555W family datasheet; values are for 550W bin.,Axitec 530–555W AXIworldbipremium XXL HC MT datasheet PDF,,0.0,,False,53.8395,56.75110000000001,57.479000000000006,D3 Max 11–60V/13A: YES (current clip likely) | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: YES | DPU Low 30–150V/15A: YES | DPU High 80–450V/15A: needs ≥2S (max 7S) | DPU‑X High 80–500V/15A: needs ≥2S (max 8S),Voc@-25C,57.479000000000006,1,2.5209999999999937,2.5209999999999937,2,35.04199999999999,92.52099999999999,7,47.646999999999935,392.521,8,40.16799999999995,442.521,2,83.8,114.95800000000001,2S–7S,2S–8S,1.0,1.0
Axitec,AC-580TGB/144TS (AXIbiperfect GXXL TS 580W bin),"Bifacial, glass/glass","N-type TOPCon, half-cut (144)",580,52.82,44.47,13.04,13.62,-0.31,-0.26,0.046,1500.0,,2278×1134×30,31.2,Datasheet lists family 565–580W; values are for 580W bin.,Axitec 565–580W AXIbiperfect GXXL TS datasheet PDF,,0.0,,False,56.2533,58.99994,59.68659999999999,D3 Max 11–60V/13A: YES (current clip likely) | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: YES | DPU Low 30–150V/15A: YES | DPU High 80–450V/15A: needs ≥2S (max 7S) | DPU‑X High 80–500V/15A: needs ≥2S (max 8S),Voc@-25C,59.68659999999999,1,0.31340000000000856,0.31340000000000856,2,30.626800000000017,90.3134,7,32.19380000000007,390.3134,8,22.50720000000007,440.3134,2,88.94,119.37319999999998,2S–7S,2S–8S,1.0,1.0
Canadian Solar,"CS6.1-54TM-450H (TOPHiKu6, All-Black)",Monofacial (all-black) / some variants bifacial; this SKU appears monofacial,N-type TOPCon,450,38.9,33.0,13.66,14.55,-0.29,-0.25,0.05,1500.0,25.0,1800×1134×30,23.0,Single module stays within 60V Voc; Isc 14.55A (OK for Delta 2 / Delta 2 Max; exceeds Delta 3 Max 13A limit).,Canadian Solar datasheet via US Solar Supplier,,,,False,41.33125,43.27625,43.7625,D3 Max 11–60V/13A: YES (current clip likely) | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: YES | DPU Low 30–150V/15A: YES | DPU High 80–450V/15A: needs ≥3S (max 10S) | DPU‑X High 80–500V/15A: needs ≥3S (max 11S),Voc@-25C,43.7625,1,16.237499999999997,16.237499999999997,3,18.712499999999977,106.2375,10,12.375,406.2375,11,18.612499999999955,456.2375,3,99.0,131.28750000000002,3S–10S,3S–11S,1.0,1.0
Canadian Solar,CS6R-395MS-HL,"Monofacial, glass/backsheet (all-black)","Mono-crystalline, 108 half-cut (2×(9×6))",395,36.6,30.6,12.91,13.77,-0.34,-0.26,0.05,1500.0,25.0,1722×1134×35,22.4,Updated to match CSI Solar HiKu6 CS6R-MS-HL datasheet (STC bin 395W).,CSI Solar HiKu6 CS6R-MS-HL (All-Black) datasheet PDF (Mar 2023).,7.0,1.0,Seen in EcoFlow user threads as a common third‑party rigid panel paired with EcoFlow units.,False,38.979,40.882200000000005,41.358,D3 Max 11–60V/13A: YES | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: YES | DPU Low 30–150V/15A: YES | DPU High 80–450V/15A: needs ≥3S (max 10S) | DPU‑X High 80–500V/15A: needs ≥3S (max 12S),Voc@-25C,41.358,1,18.642000000000003,18.642000000000003,3,25.926000000000016,108.642,10,36.420000000000016,408.642,12,3.7040000000000646,458.642,3,91.80000000000001,124.07399999999998,3S–10S,3S–12S,1.0,1.0
Canadian Solar (CSI Solar),CS6.1-54TM-465H (TOPHiKu6 All-Black),Monofacial (all-black),"N-type TOPCon cells, 108 [2×(9×6)]",465,39.5,33.6,13.85,14.77,-0.29,-0.25,0.05,1500.0,25.0,1800×1134×35,23.0,"Premium residential/commercial module; all-black aesthetic; assembled in USA from imported components (datasheet).; EcoFlow match: Imp 13.85A vs 15A limit; STC series limit ~11S (DPU 450V), ~12S (DPU‑X 500V).",Signature Solar product page; Canadian Solar TOPHiKu6 datasheet,,0.0,,False,41.96875,43.94375,44.4375,D3 Max 11–60V/13A: YES (current clip likely) | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: YES | DPU Low 30–150V/15A: YES | DPU High 80–450V/15A: needs ≥3S (max 10S) | DPU‑X High 80–500V/15A: needs ≥3S (max 11S),Voc@-25C,44.4375,1,15.5625,15.5625,3,16.6875,105.5625,10,5.625,405.5625,11,11.1875,455.5625,3,100.80000000000001,133.3125,3S–10S,3S–11S,1.0,1.0
Canadian Solar (CSI Solar),CS7N-695TB-AG (TOPBiHiKu7),"Bifacial (TOPCon), likely glass/glass","N-type TOPCon cells, 132 [2×(11×6)]",695,47.7,39.8,17.47,18.44,-0.29,-0.25,0.05,1500.0,35.0,2384×1303×33,37.8,"Very high current module; on EcoFlow 15A ports expect significant current clipping (still within typical Isc tolerances).; EcoFlow match: Imp 17.47A slightly >15A limit (expect minor current clipping); STC series limit ~9S (DPU 450V), ~10S (DPU‑X 500V).",Signature Solar product page; Canadian Solar TOPBiHiKu7 datasheet,,0.0,,False,50.681250000000006,53.06625,53.6625,D3 Max 11–60V/13A: YES (current clip likely) | D2/D2 Max 11–60V/15A: YES (current clip likely) | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES (current clip likely) | DP3 HV 30–150V/15A: YES (current clip likely) | DPU Low 30–150V/15A: YES (current clip likely) | DPU High 80–450V/15A: needs ≥3S (max 8S) | DPU‑X High 80–500V/15A: needs ≥3S (max 9S),Voc@-25C,53.6625,1,6.337499999999999,6.337499999999999,2,42.675,96.3375,8,20.69999999999999,396.3375,9,17.037499999999966,446.3375,3,119.39999999999999,160.9875,3S–8S,3S–9S,1.0,1.0
EcoFlow,100W Flexible Solar Panel (ZMS330),Flexible,Monocrystalline silicon,100,20.3,17.1,5.9,6.3,,,,,,1055×612×25,2.3,From EcoFlow flexible panel product page.,EcoFlow 100W Flexible product page (Specs section),,0.0,,True,,,,D3 Max 11–60V/13A: YES | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: NO | DPU Low 30–150V/15A: NO | DPU High 80–450V/15A: needs ≥5S (max 22S) | DPU‑X High 80–500V/15A: needs ≥5S (max 24S) | Note: Voc temperature coefficient missing → cold‑weather voltage margin unknown.,Voc@STC,20.3,2,19.4,39.7,7,7.900000000000006,129.7,22,3.3999999999999773,429.7,24,12.799999999999955,479.7,5,85.5,101.5,5S–22S,5S–24S,1.0,1.0
EcoFlow,100W Rigid Solar Panel (ZMS331 / LA-200WSP-Rigi kit),Rigid,Monocrystalline silicon,100,20.3,17.1,5.9,6.3,-0.39,-0.33,0.06,600.0,15.0,980×586×30,6.2,Mechanical + thermal specs from published spec tables; electrical values already set.,EcoFlow 100W Rigid spec table (ZMS331),6.0,1.0,Common rigid panel option in EcoFlow ecosystem.,False,21.97475,23.314550000000004,23.649500000000003,D3 Max 11–60V/13A: YES | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: NO | DPU Low 30–150V/15A: NO | DPU High 80–450V/15A: needs ≥5S (max 19S) | DPU‑X High 80–500V/15A: needs ≥5S (max 21S),Voc@-25C,23.649500000000003,2,12.700999999999993,36.3505,6,8.10299999999998,126.3505,19,0.6594999999999231,426.3505,21,3.360499999999945,476.3505,5,85.5,118.24750000000002,5S–19S,5S–21S,1.0,1.0
EcoFlow,110W Portable Solar Panel (EFSOLAR110N),"Portable, monocrystalline",Monocrystalline silicon,110,21.8,18.4,6.0,6.5,,,,,,Unfolded 1785×420×25; Folded 420×480×25 (per page),4.0,EcoFlow lists Voc with Vmp in parentheses and Isc with Imp in parentheses.,EcoFlow 110W product page,4.0,1.0,Common mid-size EcoFlow portable panel used with EcoFlow units.,True,,,,D3 Max 11–60V/13A: YES | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: NO | DPU Low 30–150V/15A: NO | DPU High 80–450V/15A: needs ≥5S (max 20S) | DPU‑X High 80–500V/15A: needs ≥5S (max 22S) | Note: Voc temperature coefficient missing → cold‑weather voltage margin unknown.,Voc@STC,21.8,2,16.4,38.2,6,19.19999999999999,128.2,20,14.0,428.2,22,20.399999999999977,478.2,5,92.0,109.0,5S–20S,5S–22S,1.0,1.0
